Classifier Name,Dataset,Balance,Num Training Samples,Num Non-Healthy Companies,TP,TN,FP,FN,F1 Score,AUC ROC
Linear Discriminant Analysis,Train,Unbalanced,8037,186,10,7774,77,176,0.06474820143884892,0.5219778865235988
Linear Discriminant Analysis,Test,Unbalanced,2679,62,2,2600,17,60,0.044444444444444446,0.5128810383719353
Linear Discriminant Analysis,Train,Unbalanced,8037,186,10,7786,65,176,0.07719298245614035,0.5227421203791586
Linear Discriminant Analysis,Test,Unbalanced,2679,62,2,2588,29,60,0.0784313725490196,0.510588336805256
Linear Discriminant Analysis,Train,Unbalanced,8037,186,8,7782,69,178,0.0875912408759124,0.5171110316746171
Linear Discriminant Analysis,Test,Unbalanced,2679,62,4,2592,25,58,0.06521739130434784,0.5274816029188802
Linear Discriminant Analysis,Train,Unbalanced,8037,186,8,7780,71,178,0.06015037593984964,0.5169836593653572
Linear Discriminant Analysis,Test,Unbalanced,2679,62,4,2594,23,58,0.09090909090909091,0.5278637198466601
Linear Discriminant Analysis_lsqr_auto,Train,Unbalanced,8037,186,10,7758,93,176,0.09824561403508772,0.520958908049519
Linear Discriminant Analysis_lsqr_auto,Test,Unbalanced,2679,62,5,2588,29,57,0.08163265306122448,0.5347818851923527
Linear Discriminant Analysis_lsqr_auto,Train,Unbalanced,8037,186,13,7767,84,173,0.0948905109489051,0.5295965995702211
Linear Discriminant Analysis_lsqr_auto,Test,Unbalanced,2679,62,2,2579,38,60,0.049999999999999996,0.5088688106302464
Linear Discriminant Analysis_lsqr_auto,Train,Unbalanced,8037,186,11,7752,99,175,0.04633204633204633,0.5232649631647499
Linear Discriminant Analysis_lsqr_auto,Test,Unbalanced,2679,62,4,2594,23,58,0.04597701149425287,0.5278637198466601
Linear Discriminant Analysis_lsqr_auto,Train,Unbalanced,8037,186,11,7761,90,175,0.08480565371024734,0.5238381385564198
Linear Discriminant Analysis_lsqr_auto,Test,Unbalanced,2679,62,4,2585,32,58,0.058823529411764705,0.5261441936716506
Logistic Regression_max_iter_1000,Train,Unbalanced,8037,186,0,7849,2,186,0.010526315789473686,0.49987262769074003
Logistic Regression_max_iter_1000,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Logistic Regression_max_iter_1000,Train,Unbalanced,8037,186,0,7849,2,186,0.010582010582010583,0.49987262769074003
Logistic Regression_max_iter_1000,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Logistic Regression_max_iter_1000,Train,Unbalanced,8037,186,0,7850,1,186,0.010695187165775402,0.49993631384537
Logistic Regression_max_iter_1000,Test,Unbalanced,2679,62,0,2616,1,62,0.0,0.49980894153611005
Logistic Regression_max_iter_1000,Train,Unbalanced,8037,186,0,7850,1,186,0.0,0.49993631384537
Logistic Regression_max_iter_1000,Test,Unbalanced,2679,62,0,2616,1,62,0.0,0.49980894153611005
Logistic Regression_max_iter_500,Train,Unbalanced,8037,186,1,7848,3,185,0.010695187165775402,0.5024971135791209
Logistic Regression_max_iter_500,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Logistic Regression_max_iter_500,Train,Unbalanced,8037,186,1,7848,3,185,0.010695187165775402,0.5024971135791209
Logistic Regression_max_iter_500,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Logistic Regression_max_iter_500,Train,Unbalanced,8037,186,1,7851,0,185,0.010695187165775402,0.5026881720430108
Logistic Regression_max_iter_500,Test,Unbalanced,2679,62,0,2614,3,62,0.0,0.49942682460833016
