Name;WMC;DIT;NOCC;CBO;RFC;LCOM;WMC;DIT;NOCC;RFC;LCOM;NOM;MPC;DAC;SIZE1;SIZE2;DSC;NOH;ANA;DAM;DCC;CAMC;MOA;MFA;NOP;CIS;NOM;Reusability;Flexibility;Understandability;Functionality;Extendibility;Effectiveness;FanIn
gr.uom.Service.Based.Assesment.model.ProjectAnalysis;50.0;1;0;6.0;75.0;228.0;1.0;1;0;75.0;228.0;50.0;0;1;102;38;1.0;0;0.0;1.0;0.0;0.096;1.0;0.0;0.0;50.0;50.0;25.524;0.75;-16.46832;11.231520000000002;0.0;0.4;6
gr.uom.Service.Based.Assesment.model.Comment;4.0;1;0;0.0;6.0;1.0;1.0;1;0;6.0;1.0;4.0;0;0;8;4;1.0;0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;4.0;4.0;2.625;0.125;-1.32;1.16;0.0;0.1;0
gr.uom.Service.Based.Assesment.model.Project;34.0;1;0;4.0;51.0;96.0;1.0;1;0;51.0;96.0;34.0;0;0;67;25;1.0;0;0.0;1.0;0.0;0.11764705882352941;0.0;0.0;0.0;34.0;34.0;17.529411764705884;0.25;-11.181176470588236;7.714117647058823;0.0;0.2;4
gr.uom.Service.Based.Assesment.model.ProjectFile;50.0;1;0;4.0;75.0;236.0;1.0;1;0;75.0;236.0;50.0;0;1;93;37;1.0;0;0.0;0.33333334;1.0;0.06857142857142857;1.0;0.0;0.0;50.0;50.0;25.517142857142858;0.5833333358168602;-16.69737142529317;11.228228571428572;0.0;0.2666666686534882;3
gr.uom.Service.Based.Assesment.service.ProjectService;18.0;1;0;4.0;41.0;24.0;1.5;1;0;41.0;24.0;18.0;16;1;127;11;1.0;0;0.0;1.0;2.0;0.2222222222222222;2.0;0.0;0.0;16.0;18.0;8.555555555555555;1.25;-5.866666666666667;3.766666666666667;0.0;0.6000000000000001;2
gr.uom.Service.Based.Assesment.service.ProjectAnalysisService;26.0;1;0;8.0;95.0;59.0;1.7333333492279053;1;0;95.0;59.0;26.0;83;0;186;17;1.0;0;0.0;1.0;6.0;0.1984126984126984;2.0;0.0;0.0;24.0;26.0;12.549603174603174;1.25;-8.51452380952381;5.523809523809524;0.0;0.6000000000000001;2
gr.uom.Service.Based.Assesment.repository.ProjectAnalysisRepository;10.0;1;0;2.0;15.0;10.0;-1000;1;0;15.0;10.0;10.0;0;0;5;5;1.0;0;0.0;-1000;1.0;1.0;0.0;0.0;0.0;0.0;10.0;0.75;-0.25;-3.6300000000000003;0.33999999999999997;0.0;-0.2;1
gr.uom.Service.Based.Assesment.repository.ProjectFileRepository;2.0;1;0;1.0;3.0;0.0;-1000;1;0;3.0;0.0;2.0;0;0;1;1;1.0;0;0.0;-1000;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.75;-0.25;-0.99;0.33999999999999997;0.0;-0.2;1
gr.uom.Service.Based.Assesment.repository.ProjectRepository;10.0;1;0;2.0;15.0;10.0;-1000;1;0;15.0;10.0;10.0;0;0;5;5;1.0;0;0.0;-1000;1.0;1.0;0.0;0.0;0.0;0.0;10.0;0.75;-0.25;-3.6300000000000003;0.33999999999999997;0.0;-0.2;1
gr.uom.Service.Based.Assesment.controllers.ProjectController;24.0;1;0;5.0;58.0;0.0;2.153846263885498;1;0;58.0;0.0;24.0;85;2;174;14;1.0;0;0.0;1.0;5.0;0.5416666666666666;2.0;0.0;0.0;24.0;24.0;12.635416666666666;1.25;-7.74125;5.565;0.0;0.6000000000000001;0
gr.uom.Service.Based.Assesment.controllers.ProjectAnalysisController;10.0;1;0;3.0;26.0;0.0;1.0;1;0;26.0;0.0;10.0;12;2;38;8;1.0;0;0.0;1.0;3.0;0.3;3.0;0.0;0.0;10.0;10.0;5.575;1.75;-3.2010000000000005;2.4560000000000004;0.0;0.8;0
gr.uom.Service.Based.Assesment.Parser;16.0;1;0;3.0;69.0;28.0;3.8888888359069824;1;0;69.0;28.0;16.0;148;0;198;9;1.0;0;0.0;1.0;2.0;0.475;0.0;0.0;0.0;12.0;16.0;6.61875;0.25;-5.1232500000000005;2.9170000000000003;0.0;0.2;1
gr.uom.Service.Based.Assesment.ServiceBasedAssessmentOfCodeQualityApplication;2.0;1;0;0.0;3.0;0.0;0.5;1;0;3.0;0.0;2.0;0;0;3;1;1.0;0;0.0;-1000;0.0;1.0;0.0;0.0;0.0;2.0;2.0;1.75;-0.25;-0.99;0.78;0.0;-0.2;0
